# Masters
Metadata/NPC/Missions/Wild/StrDexInt; Zana, Master Cartographer; ffFFFF00
Metadata/NPC/Missions/Wild/Int; Catarina, Master of the Dead; ff64FFFF
Metadata/NPC/Missions/Wild/Dex; Tora, Master of the Hunt; ff64FFFF
Metadata/NPC/Missions/Wild/DexInt; Vorici, Master Assassin; ff64FFFF
Metadata/NPC/Missions/Wild/Str; Haku, Armourmaster; ff64FFFF
Metadata/NPC/Missions/Wild/StrInt; Elreon, Loremaster; ff64FFFF
Metadata/NPC/Missions/Wild/StrDex; Vagan, Weaponmaster; ff64FFFF
Metadata/NPC/Missions/Wild/Fish; Krillson, Master Fisherman; ffFFFF00

# Exiles
Metadata/Monsters/Exiles/ExileRanger1; Orra Greengate; ffFEC076
Metadata/Monsters/Exiles/ExileRanger2; Thena Moga; ffFEC076
Metadata/Monsters/Exiles/ExileRanger3; Antalie Napora; ffFEC076
Metadata/Monsters/Exiles/ExileDuelist1; Torr Olgosso; ffFEC076
Metadata/Monsters/Exiles/ExileDuelist2; Armios Bell; ffFEC076
Metadata/Monsters/Exiles/ExileDuelist4; Zacharie Desmarais; ffFEC076
Metadata/Monsters/Exiles/ExileWitch1; Minara Anemina; ffFEC076
Metadata/Monsters/Exiles/ExileWitch2; Igna Phoenix; ffFEC076
Metadata/Monsters/Exiles/ExileWitch4; Dena Lorenni; ffFEC076
Metadata/Monsters/Exiles/ExileMarauder1; Jonah Unchained; ffFEC076
Metadata/Monsters/Exiles/ExileMarauder2; Damoi Tui; ffFEC076
Metadata/Monsters/Exiles/ExileMarauder3; Xandro Blooddrinker; ffFEC076
Metadata/Monsters/Exiles/ExileMarauder5; Vickas Giantbone; ffFEC076
Metadata/Monsters/Exiles/ExileTemplar1; Eoin Greyfur; ffFEC076
Metadata/Monsters/Exiles/ExileTemplar2; Tinevin Highdove; ffFEC076
Metadata/Monsters/Exiles/ExileTemplar4; Magnus Stonethorn; ffFEC076
Metadata/Monsters/Exiles/ExileShadow1_; Ion Darkshroud; ffFEC076
Metadata/Monsters/Exiles/ExileShadow2; Ash Lessard; ffFEC076
Metadata/Monsters/Exiles/ExileShadow4; Wilorin Demontamer; ffFEC076
Metadata/Monsters/Exiles/ExileScion2; Augustina Solaria; ffFEC076
Metadata/Monsters/Exiles/ExileScion3; Lael Furia; ffFEC076
Metadata/Monsters/Exiles/ExileScion4; Vanth Agiel; ffFEC076

# Strongboxes
Metadata/Chests/StrongBoxes/StrongboxDivination; Diviner's Strongbox; ffFF00FF
Metadata/Chests/StrongBoxes/DivinersStrongBox.ao; Diviner's Strongbox; ffFF00FF
Metadata/Chests/StrongBoxes/Arcanist; Arcanist's Strongbox; ffFF00FF
Metadata/Chests/StrongBoxes/ArcanistStrongBox.ao; Arcanist's Strongbox; ffFF00FF
Metadata/Chests/StrongBoxes/Artisan; Artisan's Strongbox; ffD2D2D2
Metadata/Chests/StrongBoxes/ArtisanStrongBox.ao; Artisan's Strongbox; ffD2D2D2
Metadata/Chests/StrongBoxes/Cartographer; Cartographer's Strongbox; ffFFFF00
Metadata/Chests/StrongBoxes/CartographerStrongBox.ao; Cartographer's Strongbox; ffFFFF00
Metadata/Chests/StrongBoxes/Gemcutter; Gemcutter's Strongbox; ff1BA29B
Metadata/Chests/StrongBoxes/GemcutterStrongBox.ao; Gemcutter's Strongbox; ff1BA29B
Metadata/Chests/StrongBoxes/Jeweller; Jeweller's Strongbox; ffD2D2D2
Metadata/Chests/StrongBoxes/JewellerStrongBox.ao; Jeweller's Strongbox; ffD2D2D2
Metadata/Chests/StrongBoxes/Arsenal; Blacksmith's Strongbox; ffD2D2D2
Metadata/Chests/StrongBoxes/ArsenalStrongBox.ao; Blacksmith's Strongbox; ffD2D2D2
Metadata/Chests/StrongBoxes/Armory; Armourer's Strongbox; ffD2D2D2
Metadata/Chests/StrongBoxes/ArmoryStrongBox.ao; Armourer's Strongbox; ffD2D2D2
Metadata/Chests/StrongBoxes/Ornate; Ornate Strongbox; ffD2D2D2
Metadata/Chests/StrongBoxes/OrnateStrongbox.ao; Ornate Strongbox; ffD2D2D2
Metadata/Chests/StrongBoxes/Large; Large Strongbox; ffD2D2D2
Metadata/Chests/StrongBoxes/LargeStrongbox.ao; Large Strongbox; ffD2D2D2
Metadata/Chests/StrongBoxes/Strongbox; Simple Strongbox; ffD2D2D2
Metadata/Chests/StrongBoxes/Strongbox.ao; Simple Strongbox; ffD2D2D2
Metadata/Chests/CopperChests/CopperChestEpic3; Epic Chest; ffAF6025
Metadata/Chests/CopperChests/CopperChestEpic3.ao; Epic Chest; ffAF6025
Metadata/Chests/StrongBoxes/PerandusBox; Perandus Strongbox; ffAF6025
Metadata/Chests/StrongBoxes/KaomBox; Kaom Strongbox; ffAF6025
Metadata/Chests/StrongBoxes/MalachaisBox; Malachai Strongbox; ffAF6025

# Perandus chests
Metadata/NPC/League/Cadiro; Cadiro Trader; ffFF8000
Metadata/Chests/PerandusChests/PerandusChestStandard; Perandus Chest; ff99FF33
Metadata/Chests/PerandusChests/PerandusChestRarity; Perandus Cache; ff99FF33
Metadata/Chests/PerandusChests/PerandusChestQuantity; Perandus Hoard; ff99FF33
Metadata/Chests/PerandusChests/PerandusChestCoins; Perandus Coffer; ff99FF33
Metadata/Chests/PerandusChests/PerandusChestJewellery; Perandus Jewellery Box; ff99FF33
Metadata/Chests/PerandusChests/PerandusChestGems; Perandus Safe; ff99FF33
Metadata/Chests/PerandusChests/PerandusChestCurrency; Perandus Treasury; ffFF00FF
Metadata/Chests/PerandusChests/PerandusChestInventory; Perandus Wardrobe; ff99FF33
Metadata/Chests/PerandusChests/PerandusChestDivinationCards; Perandus Catalogue; ffFF3300
Metadata/Chests/PerandusChests/PerandusChestKeepersOfTheTrove; Perandus Trove; ff99FF33
Metadata/Chests/PerandusChests/PerandusChestUniqueItem; Perandus Locker; ff99FF33
Metadata/Chests/PerandusChests/PerandusChestMaps; Perandus Archive; ffFFFF00
Metadata/Chests/PerandusChests/PerandusChestFishing; Perandus Tackle Box; ff99FF33
Metadata/Chests/PerandusChests/PerandusManorUniqueChest; Cadiro's Locker; ffAF6025
Metadata/Chests/PerandusChests/PerandusManorCurrencyChest; Cadiro's Treasury; ffFF00FF
Metadata/Chests/PerandusChests/PerandusManorMapsChest; Cadiro's Archive; ffFFFF00
Metadata/Chests/PerandusChests/PerandusManorJewelryChest; Cadiro's Jewellery Box; ff99FF33
Metadata/Chests/PerandusChests/PerandusManorDivinationCardsChest; Cadiro's Catalogue; ffFF3300
Metadata/Chests/PerandusChests/PerandusManorLostTreasureChest; Grand Perandus Vault; ffAF6025

# Perandus guards
Metadata/Monsters/Perandus/PerandusGuardMapBoss1; Platinia, Servant of Prospero; ffffd700
Metadata/Monsters/Perandus/PerandusGuardMapBoss2; Auriot, Prospero's Furnace Guardian; ffffd700
