#Metadata; Text; Color (ARGB)
#Example: Metadata/Chests/StrongBoxes/Strongbox; The All-seeing Eye; ff00FF00

Metadata/Chests/Barrel1; Barrel 1; ffDC143C
Metadata/Chests/Barrel2; Barrel 2; ffDC143C
Metadata/Chests/Barrel3; Barrel 3; ffDC143C
Metadata/Chests/Barrel4; Barrel 4; ffDC143C
Metadata/Chests/Barrel5; Barrel 5; ffDC143C

Metadata/Chests/CopperChest1; Copper Chest 1; ffDC143C
Metadata/Chests/CopperChest2; Copper Chest 2; ffDC143C
Metadata/Chests/CopperChest3; Copper Chest 3; ffDC143C

Metadata/Monsters/Perandus/PerandusGuardMapBoss1; Platinia, Servant of Prospero; ffffd700
Metadata/Monsters/Perandus/PerandusGuardMapBoss2; Auriot, Prospero's Furnace Guardian; ffffd700
Metadata/Monsters/Perandus/PerandusGuardMapBoss3; Rhodion, Servant of Prospero; ffffd700
Metadata/Monsters/Perandus/PerandusGuardMapBoss4; Osmea, Servant of Prospero; ffffd700
Metadata/Monsters/Perandus/PerandusGuardMapBoss4Clone; Osmea, Servant of Prospero; ffffd700
Metadata/Monsters/Perandus/PerandusGuardMapBoss5; Pallias, Servant of Prospero; ffffd700
Metadata/Monsters/Perandus/PerandusGuardMapBoss6; Argient, Servant of Prospero; ffffd700
Metadata/Monsters/Perandus/PerandusGuardMapBoss7; Rheniot, Servant of Prospero; ffffd700
Metadata/Monsters/Perandus/PerandusGuardLieutenant1; Junith Perandus, Keeper of Vaults; ffffd700
Metadata/Monsters/Perandus/PerandusGuardLieutenant2; Tantalo Perandus, Seller of Secrets; ffffd700
Metadata/Monsters/Perandus/PerandusGuardLieutenant3; Actaeo Perandus, Master of Beasts; ffffd700
Metadata/Monsters/Perandus/PerandusGuardLieutenant4; Vitorica Perandus, Maker of Marvels; ffffd700
Metadata/Monsters/Perandus/PerandusGuardLieutenant4Clone; Vitorica Perandus, Maker of Marvels; ffffd700
Metadata/Monsters/Perandus/PerandusGuardLieutenant5; Stasius Perandus, Merchant of Corpses; ffffd700
Metadata/Monsters/Perandus/PerandusGuardLieutenant6; Darsia Perandus, Collector of Debts; ffffd700
Metadata/Monsters/Perandus/PerandusGuardLieutenant7; Milo Perandus, Handler of Swords; ffffd700
Metadata/Monsters/Perandus/PerandusGuardBasic1; Celona, Vault Sentry; ffffd700
Metadata/Monsters/Perandus/PerandusGuardBasic2; Hortus, Knee Breaker; ffffd700
Metadata/Monsters/Perandus/PerandusGuardBasic3; Kuto, Hired Muscle; ffffd700
Metadata/Monsters/Perandus/PerandusGuardBasic4; Luthis, Bounty Hunter; ffffd700
Metadata/Monsters/Perandus/PerandusGuardBasic5; Belatra, Hired Assassin; ffffd700
Metadata/Monsters/Perandus/PerandusGuardSupport1; Liana, Indebted Peasant; ffffd700
Metadata/Monsters/Perandus/PerandusGuardSupport2; Marius, Indebted Smuggler; ffffd700
Metadata/Monsters/Perandus/PerandusGuardSupport3; Vera, Indebted Aristocrat; ffffd700
Metadata/Monsters/Perandus/PerandusGuardSupport4; Percia, Indebted Poacher; ffffd700
Metadata/Monsters/Perandus/PerandusGuardSecondaryBoss1; Sutrus, Vault Binder; ffffd700
Metadata/Monsters/Perandus/PerandusGuardSecondaryBoss2; Otairo, Vault Binder; ffffd700
Metadata/Monsters/Perandus/PerandusGuardSecondaryBoss3; Eiphirio, Vault Binder; ffffd700
Metadata/Monsters/Perandus/PerandusGuardSecondaryBoss4; Artensia, Vault Binder; ffffd700
Metadata/Monsters/Perandus/PerandusGuardSecondaryBoss5_; Anaveli, Vault Binder; ffffd700
Metadata/Monsters/Perandus/PerandusGuardSecondaryBoss6; Rothus, Vault Binder; ffffd700
Metadata/Monsters/Perandus/PerandusGuardSecondaryBoss7; Arinea, Vault Binder; ffffd700
Metadata/Monsters/Perandus/PerandusGuardSecondaryBoss8; Meritania, Vault Binder; ffffd700

Metadata/Monsters/Squid/SquidBossSideArea; The All-seeing Eye; ffDC143C
Metadata/Monsters/Goatman/GoatmanLeapBossSideArea; Konu, Maker of Wind; ffDC143C
Metadata/Monsters/GhostPirates/GhostPirateBossSideArea; Coniraya, Shadow of Malice; ffDC143C
Metadata/Monsters/DemonModular/DemonModularElementsBossSideArea; Atziri's Pride; ffDC143C
Metadata/Monsters/Goatman/GoatmanShamanBossSideArea; Sheaq, Maker of Floods; ffDC143C
Metadata/Monsters/Skeleton/SkeletonMeleeLargeBossSideArea; Ossecati, Boneshaper; ffDC143C
Metadata/Monsters/RootSpiders/RootSpiderBossSideArea; Kamaq, Soilmaker; ffDC143C
Metadata/Monsters/Kiweth/KiwethBossSideArea; Inti of the Blood Moon; ffDC143C
Metadata/Monsters/incaminion/FragmentBossSideArea; Shrapnelbearer; ffDC143C
Metadata/Monsters/Snake/SnakeRoboBossSideArea; Wiraqucha, Ancient Guardian; ffDC143C
Metadata/Monsters/DemonFemale/WhipDemonBossSideArea; Cava, Artist of Pain; ffDC143C
Metadata/Monsters/Pyromaniac/PyromaniacBossSideArea; Curator Miem; ffDC143C
Metadata/Monsters/BloodChieftain/MonkeyChiefBossSideArea; Simi, the Nature Touched; ffDC143C
Metadata/Monsters/InsectSpawner/CarrionQueenBossSideArea; The Sunburst Queen; ffDC143C
Metadata/Monsters/Totems/TotemBossSideArea; M'gaska, the Living Pyre; ffDC143C
Metadata/Monsters/Spiders/SpiderBossSideArea; Cintiq, the Inescapable; ffDC143C
Metadata/Monsters/Snake/SnakeScorpionBossSideArea; Thornrunner; ffDC143C
Metadata/Monsters/Cannibal/CannibalBossSideArea; Perquil the Lucky; ffDC143C
Metadata/Monsters/Skeletons/ConstructMeleeBossSideArea; Haviri, Vaal Metalsmith; ffDC143C
Metadata/Monsters/Skeletons/ConstructRangedBossSideArea; Kutec, Vaal Fleshsmith; ffDC143C
Metadata/Monsters/AnimatedItem/AnimatedArmourBossSideArea; Shadow of Vengeance; ffDC143C
Metadata/Monsters/DemonBosses/DemonBoss1/Demon1BossSideArea; Beheader Ataguchu; ffDC143C
Metadata/Monsters/DemonBosses/DemonBoss2/Demon2BossSideArea; Wiraq, the Impaler; ffDC143C
Metadata/Monsters/DemonBosses/DemonBoss3/Demon3BossSideArea; Ch'aska, Maker of Rain; ffDC143C
Metadata/Monsters/SandSpitterEmerge/SandSpitterBossSideArea; Mother of the Hive; ffDC143C
Metadata/Monsters/Seawitch/SeaWitchBossSideArea; Rima, Deep Temptress; ffDC143C
Metadata/Monsters/WaterSpiral/WaterSpiralBossSideArea; Torrent of Fear; ffDC143C
Metadata/Monsters/ZombieDismember/Blackguard/BlackguardZombieBossSideArea; Commander of Flesh; ffDC143C 
Metadata/Monsters/SkeletonSoldier/SkeletonSoldierMeleeBossSideArea; Calxipher; ffDC143C
Metadata/Monsters/SandLeaper/SandLeaperBossSideArea; Quetzerxi; ffDC143C

Metadata/Monsters/Axis/AxisCasterBossInvasion; Invasion Boss, Evocata Apocalyptica; ffDC143C
Metadata/Monsters/Axis/AxisExperimenterBossInvasion; Invasion, Boss Docere Incarnatis; ffDC143C
Metadata/Monsters/Axis/AxisSoldierBossInvasion; Invasion Boss, Corrector Draconides; ffDC143C
Metadata/Monsters/Bandits/BanditMeleeBossInvasion; Invasion Boss Balus Stoneskull; ffDC143C
Metadata/Monsters/Bandits/BanditBowBossInvasion; Invasion Boss, Kall Foxfly; ffDC143C
Metadata/Monsters/Beasts/BeastBossInvasion; Invasion Boss, Marrowcrush; ffDC143C
Metadata/Monsters/Rhoas/RhoaBossInvasion; Invasion Boss, The Cadaver Bull; ffDC143C
Metadata/Monsters/BloodChieftain/BloodChieftainBossInvasion; Invasion Boss, Junglemare; ffDC143C
Metadata/Monsters/BloodElemental/BloodElementalBossInvasion; Invasion Boss, The Sanguine Wave; ffDC143C
Metadata/Monsters/Cannibal/CannibalMaleBossInvasion; Invasion Boss, Graveblood; ffDC143C
Metadata/Monsters/Cannibal/CannibalFemaleBossInvasion; Invasion Boss, Nighteater; ffDC143C
Metadata/Monsters/Undying/CityStalkerMaleBossInvasion; Invasion Boss, The Book Burner; ffDC143C
Metadata/Monsters/Undying/CityStalkerFemaleBossInvasion; Invasion Boss, The Bolt Juggler; ffDC143C
Metadata/Monsters/DemonFemale/DemonFemaleBossInvasion; Invasion Boss, Avatar of Pain; ffDC143C
Metadata/Monsters/DemonModular/DemonModularBossInvasion; Invasion Boss, Rancor; ffDC143C
Metadata/Monsters/DemonModular/DemonFemaleRangedBossInvasion; Invasion Boss, Hatespitter; ffDC143C
Metadata/Monsters/MossMonster/FireMonsterBossInvasion; Invasion Boss, Bluntslag; ffDC143C
Metadata/Monsters/Monkeys/FlameBearerBossInvasion; Invasion Boss, The Revenant; ffDC143C
Metadata/Monsters/incaminion/FragmentBossInvasion; Invasion Boss, Judgement Apparatus; ffDC143C
Metadata/Monsters/Frog/FrogBossInvasion; Invasion Boss, Spinesnap; ffDC143C
Metadata/Monsters/GemMonster/GemFrogBossInvasion; Invasion Boss, Genesis Paradisae; ffDC143C
Metadata/Monsters/Goatman/GoatmanBossInvasion; Invasion Boss, Death from Above; ffDC143C
Metadata/Monsters/Goatman/GoatmanShamanBossInvasion; Invasion Boss, Guardian of the Mound; ffDC143C
Metadata/Monsters/Grappler/GrapplerBossInvasion; Invasion Boss, Wonderwalker; ffDC143C
Metadata/Monsters/Guardians/GuardianFireBossInvasion; Invasion Boss, The Raging Mask; ffDC143C
Metadata/Monsters/Guardians/GuardianLightningBossInvasion; Invasion Boss, The Teetering Mask; ffDC143C
Metadata/Monsters/Guardians/GuardianHeadFireBossInvasion; Invasion Boss, The Furious Mask; ffDC143C
Metadata/Monsters/Guardians/GuardianHeadColdBossInvasion; Invasion Boss, The Callous Mask; ffDC143C
Metadata/Monsters/Guardians/GuardianHeadLightningBossInvasion; Invasion Boss, The Capricious Mask; ffDC143C
Metadata/Monsters/GemMonster/IguanaBossInvasion; Invasion Boss, Alpha Paradisae; ffDC143C
Metadata/Monsters/InsectSpawner/CarrionQueenBossInvasion; Invasion Boss, Mother of the Swarm; ffDC143C
Metadata/Monsters/Kiweth/KiwethBossInvasion; Invasion Boss, Deathflutter; ffDC143C
Metadata/Monsters/Lion/LionBossInvasion; Invasion Boss, Bladetooth; ffDC143C
Metadata/Monsters/MossMonster/MossMonsterBossInvasion; Invasion Boss, Granitecrush; ffDC143C
Metadata/Monsters/Necromancer/NecromancerBossInvasion; Invasion Boss, Corpsestitch; ffDC143C
Metadata/Monsters/Pyromaniac/PyromaniacBossInvasion; Invasion Boss, The Firestarter; ffDC143C
Metadata/Monsters/RootSpiders/RootSpiderBossInvasion; Invasion Boss, Wrigglechaw; ffDC143C
Metadata/Monsters/SandSpitterEmerge/SandSpitterBossInvasion; Invasion Boss, Blinkflame; ffDC143C
Metadata/Monsters/Seawitch/SeaWitchBossInvasion; Invasion Boss, The Duchess; ffDC143C
Metadata/Monsters/ShieldCrabs/ShieldCrabBossInvasion; Invasion Boss, Shivershell; ffDC143C
Metadata/Monsters/SandSpitters/SandSpitterFromCrabBossInvasion; Invasion Boss, Shivershell; ffDC143C
Metadata/Monsters/Beasts/BeastSkeletonBossInvasion; Invasion Boss, Mammothcage; ffDC143C
Metadata/Monsters/Skeletons/SkeletonElementalBossInvasion; Invasion Boss, Harbinger of Elements; ffDC143C
Metadata/Monsters/Skeletons/SkeletonBowBossInvasion; Invasion Boss, Nightsight; ffDC143C
Metadata/Monsters/Snake/SnakeMeleeBossInvasion; Invasion Boss, Tailsinger; ffDC143C
Metadata/Monsters/Snake/SnakeRangedBossInvasion; Invasion Boss, Razorleaf; ffDC143C
Metadata/Monsters/Spawn/SpawnBossInvasion; Invasion Boss, Stranglecreep; ffDC143C
Metadata/Monsters/Spiders/SpiderBossInvasion; Invasion Boss, Pewterfang; ffDC143C
Metadata/Monsters/Spikers/SpikerBossInvasion; Invasion Boss, Bladeback Guardian; ffDC143C
Metadata/Monsters/Squid/SquidBossInvasion; Invasion Boss, Strangledrift; ffDC143C
Metadata/Monsters/Totems/TotemBossInvasion; Invasion Boss, Jikeji; ffDC143C
Metadata/Monsters/Rhoas/RhoaUndeadBossInvasion; Invasion Boss, Ghostram; ffDC143C
Metadata/Monsters/Undying/UndyingBossInvasion; Invasion Boss, Stranglecrawl; ffDC143C
Metadata/Monsters/WaterElemental/WaterElementalBossInvasion; Invasion Boss, Mirageblast; ffDC143C
Metadata/Monsters/ZombieDismember/ZombieBossInvasion; Invasion Boss, The Walking Waste; ffDC143C
Metadata/Monsters/Monkeys/MonkeyBossInvasion1; Invasion Boss, Blood Stasis; ffDC143C 
Metadata/Monsters/Monkeys/MonkeyBossInvasion2; Invasion Boss, Blood Morpher; ffDC143C
Metadata/Monsters/Skeletons/SkeletonMeleeBossInvasion; Invasion Boss, Glassmaul; ffDC143C
Metadata/Monsters/Skeletons/SkeletonLargeBossInvasion; Invasion Boss, Grath; ffDC143C
Metadata/Monsters/Skeletons/ConstructBossInvasion; Invasion Boss, The Spiritless; ffDC143C
Metadata/Monsters/GhostPirates/GhostPirateBossInvasion; Invasion Boss, Droolscar; ffDC143C
Metadata/Monsters/Rhoas/RhoaAlbino; Albino Rhoa

Metadata/Monsters/Spirit/TormentedArsonist; Tormented Arsonist; ffC6FFC6
Metadata/Monsters/Spirit/TormentedFreezer; Tormented Aurora Cultist; ffC6FFC6
Metadata/Monsters/Spirit/TormentedBlasphemer; Tormented Blasphemer; ffC6FFC6
Metadata/Monsters/Spirit/TormentedCannibal; Tormented Cannibal; ffC6FFC6
Metadata/Monsters/Spirit/TormentedCharlatan; Tormented Charlatan; ffC6FFC6
Metadata/Monsters/Spirit/TormentedCutthroat; Tormented Cutthroat; ffC6FFC6
Metadata/Monsters/Spirit/TormentedEmbezzler; Tormented Embezzler; ffFF00FF
Metadata/Monsters/Spirit/TormentedCounterfeiter; Tormented Forger; ffC6FFC6
Metadata/Monsters/Spirit/TormentedMartyr; Tormented Martyr; ffC6FFC6
Metadata/Monsters/Spirit/TormentedMutilator; Tormented Mutilator; ffC6FFC6
Metadata/Monsters/Spirit/TormentedNecromancer; Tormented Necromancer; ffC6FFC6
Metadata/Monsters/Spirit/TormentedPoisoner; Tormented Poisoner; ffC6FFC6
Metadata/Monsters/Spirit/TormentedRogue; Tormented Rogue; ffC6FFC6
Metadata/Monsters/Spirit/TormentedLibrarian; Tormented Seditionist; ffC6FFC6
Metadata/Monsters/Spirit/TormentedSmuggler; Tormented Smuggler; ffC6FFC6
Metadata/Monsters/Spirit/TormentedSpy; Tormented Spy; ffC6FFC6
Metadata/Monsters/Spirit/TormentedExperimenter; Tormented Storm Cultist; ffC6FFC6
Metadata/Monsters/Spirit/TormentedThief; Tormented Thief; ffC6FFC6
Metadata/Monsters/Spirit/TormentedThug; Tormented Thug; ffC6FFC6
Metadata/Monsters/Spirit/TormentedCorrupter; Tormented Vaal Cultist; ffC6FFC6
Metadata/Monsters/Spirit/TormentedWarlord; Tormented Warlord; ffC6FFC6
Metadata/Monsters/Spirit/TormentedFisherman; Tormented Illegal Fisherman; ffFF00FF

Metadata/Monsters/Revenant/RevenantBoss; The Bone Queen
Metadata/Monsters/Revenant/RevenantMapBoss; Thraxia
Metadata/Monsters/DaressoExiles/ExileArenaMarauder; Gladiator Dimachaeri Cassius
Metadata/Monsters/DaressoExiles/ExileArenaWitch; Gladiator Mevia
Metadata/Monsters/DaressoExiles/ExileArenaRanger; Gladiator Rudiarius Felix
Metadata/Monsters/GladiatorBosses/GladiatorBossSupport; Gladiator Rudiarius Felix
Metadata/Monsters/GladiatorBosses/GladiatorBossLeader; Gladiator Mevion
Metadata/Monsters/GladiatorBosses/GladiatorBossElite; Gladiator Dimachaeri Cassius
Metadata/Monsters/GladiatorBosses/GladiatorBossSupportMap; Avatar of the Huntress
Metadata/Monsters/GladiatorBosses/GladiatorBossLeaderMap; Avatar of the Skies
Metadata/Monsters/GladiatorBosses/GladiatorBossEliteMap; Avatar of the Forge
